tissue,variant,editing_level,score
Artery,baseline,6.85279187817259,0.8564537167549133
Artery,baseline,7.76583034647551,0.18402211368083954
Artery,baseline,6.92695214105793,0.02950850874185562
Artery,baseline,1.09140518417462,0.02634448930621147
Artery,baseline,1.24575311438279,0.00975154060870409
Artery,baseline,4.84633569739953,0.2444731742143631
Artery,baseline,11.9741100323625,0.7157348990440369
Artery,baseline,3.52564102564103,0.6727133393287659
Artery,baseline,10.1075268817204,0.8659518361091614
Artery,baseline,5.08108108108108,0.33896493911743164
Artery,baseline,2.50817884405671,0.8826266527175903
Artery,baseline,1.95876288659794,0.7426823973655701
Artery,baseline,3.1763417305586,0.3639885485172272
Artery,baseline,5.74324324324324,0.8035814166069031
Artery,baseline,6.03351955307263,0.8694077134132385
Artery,baseline,2.49406175771972,0.024471024051308632
Artery,baseline,13.4065934065934,0.8320703506469727
Artery,baseline,1.77725118483412,0.2516408860683441
Artery,baseline,2.03160270880361,0.028289316222071648
Artery,baseline,1.43487858719647,0.7803223729133606
Artery,baseline,1.01663585951941,0.7227014303207397
Artery,baseline,9.42408376963351,0.4527445137500763
Artery,baseline,5.85585585585586,0.7258787751197815
Artery,baseline,5.02127659574468,0.8521631360054016
Artery,baseline,3.41726618705036,0.9145167469978333
Artery,baseline,1.30260521042084,0.3677840530872345
Artery,baseline,14.3473570658037,0.9133991003036499
Artery,baseline,9.51859956236324,0.8366482853889465
Artery,baseline,1.36585365853659,0.8556646704673767
Artery,baseline,5.90339892665474,0.2602221965789795
Artery,baseline,1.31687242798354,0.9708050489425659
Artery,baseline,8.98058252427184,0.30448514223098755
Artery,baseline,2.62123197903014,0.8015511631965637
Artery,baseline,7.16180371352785,0.8567177057266235
Artery,baseline,2.03193033381713,0.877098798751831
Artery,baseline,2.5260029717682,0.8448554873466492
Artery,baseline,1.17130307467057,0.8409483432769775
Artery,baseline,11.1402359108781,0.44864556193351746
Artery,baseline,7.08762886597938,0.4234315752983093
Artery,baseline,13.4099616858238,0.603626549243927
Artery,baseline,10.0391134289439,0.5473427176475525
Artery,baseline,3.46598202824134,0.36642906069755554
Artery,baseline,5.60625814863103,0.4330521523952484
Artery,baseline,8.26666666666667,0.5309626460075378
Artery,baseline,9.1644204851752,0.7047826647758484
Artery,baseline,1.06951871657754,0.11956314742565155
Artery,baseline,3.89937106918239,0.8509132266044617
Artery,baseline,8.64864864864865,0.9594942927360535
Artery,baseline,2.92397660818713,0.09613028168678284
Artery,baseline,3.67231638418079,0.4920381009578705
Artery,baseline,1.0221465076661,0.016954947263002396
Artery,baseline,7.43801652892562,0.5167950391769409
Artery,baseline,7.59124087591241,0.0595482736825943
Artery,baseline,1.34328358208955,0.04184146225452423
Artery,baseline,1.21951219512195,0.18749277293682098
Artery,baseline,3.09119010819165,0.22039948403835297
Artery,baseline,3.65296803652968,0.12909510731697083
Artery,baseline,10.7088989441931,0.1700475662946701
Artery,baseline,1.10650069156293,0.14206230640411377
Artery,baseline,6.14035087719298,0.04110345244407654
Artery,baseline,2.63565891472868,0.036868806928396225
Artery,baseline,1.51006711409396,0.024677952751517296
Artery,baseline,2.07006369426752,0.05556781589984894
Artery,baseline,2.31404958677686,0.012277796864509583
Artery,baseline,5.99250936329588,0.00042849837336689234
Artery,baseline,3.6214953271028,0.4726635813713074
Artery,baseline,12.1140142517815,0.9464787244796753
Artery,baseline,5.62162162162162,0.9419645667076111
Artery,baseline,2.37324703344121,0.9833816289901733
Artery,baseline,4.65116279069768,0.7849442362785339
Artery,baseline,2.33766233766234,0.43834224343299866
Artery,baseline,13.0966952264382,0.6173937320709229
Artery,baseline,2.61096605744125,0.8456099629402161
Artery,baseline,3.76850605652759,0.8465558886528015
Artery,baseline,13.869625520111,0.9634506702423096
Artery,baseline,8.38627700127065,0.9865766763687134
Artery,baseline,2.9639175257732,0.9616982340812683
Artery,baseline,2.51046025104603,0.930000901222229
Artery,baseline,2.4416135881104,0.7355545163154602
Artery,baseline,1.05042016806723,0.8830161094665527
Artery,baseline,1.48221343873518,0.8861214518547058
Artery,baseline,9.19117647058824,0.902093231678009
Artery,baseline,13.4191176470588,0.9218724370002747
Artery,baseline,2.12569316081331,0.5292596817016602
Artery,baseline,2.34962406015038,0.21873511373996735
Artery,baseline,2.89156626506024,0.6970258951187134
Artery,baseline,1.36363636363636,0.736331045627594
Artery,baseline,2.60869565217391,0.744365930557251
Artery,baseline,5.06329113924051,0.9534580707550049
Artery,baseline,4.40835266821346,0.8921830058097839
Artery,baseline,6.65236051502146,0.24419015645980835
Artery,baseline,7.63888888888889,0.6633149981498718
Artery,baseline,6.41975308641975,0.749239981174469
Artery,baseline,3.58056265984655,0.11972873657941818
Artery,baseline,8.21917808219178,0.8611899018287659
Artery,baseline,11.6666666666667,0.8503214120864868
Artery,baseline,2.4390243902439,0.5799869894981384
Artery,baseline,10.3746397694525,0.924374520778656
Artery,baseline,5.32212885154062,0.3100457787513733
Artery,baseline,10.7361963190184,0.642239511013031
Artery,baseline,1.33779264214047,0.07569139450788498
Artery,baseline,3.05555555555556,0.4303396940231323
